Pgroup,Lp,PKod,Pname,p_sale_in_time,Psale,Pavarage_stock,Rotation_in_days,Rotation_in_times
ART._HYGIENIC,,,,,,,,
 ,1.0,7568.0,KOSTKA DO WC FORCE,"0,002673797","1,00","0,00",0,
 ,1.0,3524.0,KRAZKI KUKURYDZIANE 60 G,"0,026737968","10,00","0,00",0,
 ,1.0,4949.0,KREDKI OLOWKOWE 12 SZT,"0,002673797","1,00","0,00",0,
 ,1.0,18923.0,KREDKI O?OWKOWE 12 SZT,"0,010695187","4,00","0,00",0,
 ,1.0,9811.0,KREDKI SWIECACE 12 SZT,"0,010695187","4,00","0,00",0,
 ,1.0,18924.0,KREDKI SWIECOWE WKRECANE  12 SZT,"0,002673797","1,00","0,00",0,
 ,1.0,1657.0,KREM BAMBINO 75ML,"0,032085561","12,00","0,00",0,
 ,1.0,13860.0,KREM DO RAK ZIOLA POLSKIE,"0,005347594","2,00","0,00",0,
 ,1.0,8019.0,KREM DO STOP 100 ML,"0,005347594","2,00","0,00",0,
 ,1.0,3502.0,KRET GRANULKI 500G,"0,005347594","2,00","0,00",0,
 ,1.0,5410.0,KRET W TABLATKACH 3W1,"0,010695187","4,00","0,00",0,
 ,1.0,8555.0,KUBEK 180 ML,"0,227272727","85,00","0,00",0,
 ,1.0,10075.0,KUSCHELWEICH 990 ML NIEBIESKI DO PLUKANI,"0,013368984","5,00","0,00",0,
 ,1.0,19122.0,LAKIER DO WLOS.SYNTEZA 120ML ZAPAS,"0,013368984","5,00","0,00",0,
 ,1.0,5061.0,LAKIER DO WLOSOW 200 ML EVA,"0,005347594","2,00","0,00",0,
 ,1.0,5060.0,LAKIER DO WLOSOW EVA 200 ML,"0,010695187","4,00","0,00",0,
 ,1.0,2876.0,LAKIER PROFESSIONAL 265ML,"0,010695187","4,00","0,00",0,
 ,1.0,6447.0,LENOR PLYN SUMMER 1 L,"0,002673797","1,00","0,00",0,
 ,1.0,18926.0,LINIJKA 20 CM,"0,002673797","1,00","0,00",0,
 ,1.0,27.0,"LUDWIK D/NACZYN 0,5 L MIETA","0,026737968","10,00","0,00",0,
 ,1.0,1999.0,LUDWIK D/NACZYN 1L MIETOW,"0,082887701","31,00","0,00",0,
 ,1.0,26.0,LUDWIK D/NACZYN 500 ML CYTRYNA,"0,07486631","28,00","0,00",0,
 ,1.0,14686.0,LUDWIK D/NACZYN BALSAM 1L,"0,016042781","6,00","0,00",0,
 ,1.0,14685.0,LUDWIK D/NACZYN BALSAM 500ML,"0,050802139","19,00","0,00",0,
 ,1.0,16079.0,"LUDWIK DO ZATLUSZCZONYCH POWIERZ.0,75","0,005347594","2,00","0,00",0,
 ,1.0,9634.0,LUDWIK MLECZKO DO CZYSZCZENIA 300 ML,"0,005347594","2,00","0,00",0,
